iter	Passed	Remaining
0	2	275
1	5	271
2	7	232
3	8	198
4	9	179
5	10	166
6	11	157
7	13	151
8	14	146
9	15	141
10	17	139
11	18	134
12	19	132
13	21	129
14	22	126
15	23	123
16	24	121
17	26	119
18	27	116
19	28	114
20	29	111
21	31	110
22	32	108
23	34	107
24	35	106
25	36	104
26	37	102
27	38	100
28	40	98
29	41	96
30	42	94
31	43	92
32	44	90
33	46	89
34	47	89
35	49	87
36	50	86
37	52	85
38	54	84
39	55	83
40	56	81
41	57	79
42	58	78
43	61	77
44	63	77
45	65	76
46	66	75
47	68	74
48	70	72
49	71	71
50	73	70
51	74	68
52	75	67
53	76	65
54	77	63
55	78	61
56	80	60
57	81	58
58	82	57
59	83	55
60	85	54
61	86	52
62	87	51
63	88	50
64	90	48
65	91	47
66	92	45
67	93	44
68	94	42
69	96	41
70	97	39
71	98	38
72	99	36
73	101	35
74	103	34
75	104	33
76	106	31
77	107	30
78	108	28
79	109	27
80	110	26
81	112	24
82	113	23
83	115	21
84	117	20
85	118	19
86	119	17
87	120	16
88	122	15
89	123	13
90	124	12
91	125	10
92	126	9
93	128	8
94	129	6
95	131	5
96	132	4
97	133	2
98	134	1
99	135	0
